threshold,precision,recall,f1
0.016676371533971935,0.11165444172779136,1.0,0.20087976539589442
0.01673863479733509,0.11183673469387755,1.0,0.2011747430249633
0.016765423206280036,0.11201962387571546,1.0,0.20147058823529412
0.01684357631388872,0.11229508196721312,1.0,0.2019159911569639
0.01686983178381555,0.11275720164609053,1.0,0.20266272189349113
0.016952466374371037,0.11294311624072548,1.0,0.20296296296296296
0.017181705504189373,0.11312964492155243,1.0,0.2032640949554896
0.017208368012756606,0.11322314049586776,1.0,0.20341499628804752
0.017248826312932883,0.11341059602649006,1.0,0.2037174721189591
0.017262705007756205,0.11350455675227837,1.0,0.20386904761904762
0.017739833925849522,0.11388196176226101,1.0,0.2044776119402985
0.017795404427096238,0.11397670549084858,1.0,0.2046303211351755
0.01787204874549442,0.11407160699417153,1.0,0.20478325859491778
